bookId,title,author,genre,year,price,available,publishDate,lastUpdated
B001,Harry Potter,J.K. Rowling,Fantasy,1997,15.99,true,1997-06-26,2024-01-15T10:00:00
B002,The Hobbit,J.R.R. Tolkien,Fantasy,1937,12.50,true,1937-09-21,2024-01-15T11:00:00
B003,1984,George Orwell,Fiction,1949,10.99,false,1949-06-08,2024-01-14T09:00:00
B004,The Catcher in the Rye,J.D. Salinger,Fiction,1951,9.99,true,1951-07-16,2024-01-15T12:00:00
B005,To Kill a Mockingbird,Harper Lee,Fiction,1960,14.50,true,1960-07-11,2024-01-16T14:00:00
B006,The Great Gatsby,F. Scott Fitzgerald,Fiction,1925,11.99,false,1925-04-10,2024-01-13T16:00:00
B007,Pride and Prejudice,Jane Austen,Romance,1813,8.99,true,1813-01-28,2024-01-16T10:30:00
B008,The Da Vinci Code,Dan Brown,Mystery,2003,13.75,true,2003-03-18,2024-01-15T15:45:00
B009,Dune,Frank Herbert,Science Fiction,1965,16.25,true,1965-08-01,2024-01-16T11:20:00
B010,The Alchemist,Paulo Coelho,Fiction,1988,7.99,false,1988-01-01,2024-01-14T13:15:00
B011,Echoes of Tomorrow,Eleanor Vance,Science Fiction,2021,19.99,true,2021-03-14,2024-01-12T09:45:00
B012,Crimson Shadows,Arthur Black,Mystery,2018,14.25,true,2018-09-05,2024-01-14T16:20:00
B013,Whispers in the Dark,Maya Chen,Thriller,2019,13.50,false,2019-11-22,2024-01-11T11:30:00
B014,The Silent Witness,Thomas Reed,Crime,2015,12.99,true,2015-04-18,2024-01-15T14:10:00
B015,Beyond the Horizon,Rebecca Stone,Fiction,2020,16.75,true,2020-07-30,2024-01-16T13:25:00
B016,The Forgotten Kingdom,Samuel Grant,Fantasy,2017,18.50,true,2017-05-12,2024-01-13T10:15:00
B017,Threads of Fate,Isabella Rossi,Romance,2016,9.99,false,2016-02-14,2024-01-14T12:45:00
B018,Quantum Dawn,Leonard Kim,Science Fiction,2022,21.00,true,2022-10-10,2024-01-16T09:30:00
B019,The Glass House,Patricia Wells,Mystery,2014,11.25,true,2014-08-07,2024-01-12T15:40:00
